Id,tipo_moradia,localizacao,andares,nota_casa,ano_contrucao,preco,banheiros_tirar,vagas_garagem,cozinhas,banheiros,tamanho(em pés quadrados),tamanho lote
34,Densidade Residencial Baixa,NAmes,1,5,1959,165500,4,2,1,3,1700,10552
35,Densidade Residencial Baixa,Northridge Heights,1,5,2005,277500,2,2,1,3,1561,7313
36,Densidade Residencial Baixa,Northridge Heights,2,5,2004,309000,4,3,1,4,2452,13418
37,Densidade Residencial Baixa,College Creek,1,5,1994,145000,3,2,1,2,1097,10859
38,Densidade Residencial Baixa,NAmes,1,6,1954,153000,3,2,1,2,1297,8532
39,Densidade Residencial Baixa,NAmes,1,7,1953,109000,3,1,1,2,1057,7922
40,Densidade Residencial Baixa,Edwards,1,5,1955,82000,2,0,2,2,1152,6040
41,Densidade Residencial Baixa,NAmes,1,5,1965,160000,3,2,1,2,1324,8658
42,Densidade Residencial Baixa,Timberland,1,6,1959,170000,2,1,1,3,1328,16905
43,Densidade Residencial Baixa,Sawyer West,2,7,1983,144000,2,2,1,2,884,9180
44,Densidade Residencial Baixa,College Creek,1,6,1975,130250,3,1,1,2,938,9200
45,Densidade Residencial Baixa,NAmes,1,6,1959,141000,3,1,1,2,1150,7945
46,Densidade Residencial Baixa,Northridge Heights,1,5,2005,319900,2,2,1,3,1752,7658
47,Densidade Residencial Baixa,Mitchell,2,5,2003,239686,1,2,1,3,2149,12822
48,Área Residencial de Vilas Flutuantes,Somerset,1,5,2006,249700,3,3,1,2,1656,11096
49,Densidade Residencial Média,Old Town,2,5,1920,113000,2,0,3,2,1452,4456
50,Densidade Residencial Baixa,Sawyer,1,7,1966,127000,3,1,1,2,955,7742
51,Densidade Residencial Baixa,Gilbert,2,6,1997,177000,3,2,1,3,1470,13869
52,Densidade Residencial Média,Brookside,2,6,1934,114500,3,2,1,1,1176,6240
53,Densidade Residencial Média,Iowa DOT and Rail Road,1,5,1963,110000,2,2,1,2,816,8472
54,Densidade Residencial Baixa,Veenker,1,5,1981,385000,0,3,1,3,1842,50271
55,Densidade Residencial Baixa,NAmes,2,5,1955,130000,3,2,1,1,1360,7134
56,Densidade Residencial Baixa,NAmes,1,5,1964,180500,3,2,1,2,1425,10175
57,Área Residencial de Vilas Flutuantes,Somerset,2,5,1999,172500,3,2,1,4,1739,2645
58,Densidade Residencial Baixa,College Creek,2,5,2004,196500,3,2,1,3,1720,11645
59,Densidade Residencial Baixa,Stone Brook,2,5,2006,438780,3,3,1,4,2945,13682
60,Densidade Residencial Baixa,College Creek,1,7,1972,124900,2,1,1,1,780,7200
61,Densidade Residencial Baixa,Sawyer West,1,5,2004,158000,3,2,1,3,1158,13072
62,Densidade Residencial Média,Iowa DOT and Rail Road,2,7,1920,101000,3,1,1,1,1111,7200
63,Densidade Residencial Baixa,Northridge Heights,1,5,2006,202500,2,2,1,2,1370,6442
64,Densidade Residencial Média,Old Town,2,6,1921,140000,3,2,1,2,1710,10300
65,Densidade Residencial Baixa,College Creek,2,5,1997,219500,3,2,1,4,2034,9375
66,Densidade Residencial Baixa,Northridge Heights,2,5,2004,317000,4,3,1,3,2473,9591
67,Densidade Residencial Baixa,NAmes,1,5,1970,180000,3,2,1,3,2207,19900
68,Densidade Residencial Baixa,College Creek,1,5,2003,226000,3,2,1,3,1479,10665
69,Densidade Residencial Média,Old Town,1,6,1945,80000,2,1,1,1,747,4608
70,Densidade Residencial Baixa,Clear Creek,2,4,1953,225000,3,2,1,2,2287,15593
71,Densidade Residencial Baixa,NAmes,1,6,1973,244000,3,2,1,3,2223,13651
72,Densidade Residencial Baixa,Mitchell,1,6,1982,129500,2,2,1,2,845,7599
73,Densidade Residencial Baixa,Gilbert,2,5,1998,185000,3,2,1,3,1718,10141
74,Densidade Residencial Baixa,NAmes,1,7,1954,144900,3,2,1,2,1086,10200
75,Densidade Residencial Média,Old Town,2,6,1915,107400,3,1,2,2,1605,5790
76,Densidade Residencial Média,Meadow Village,2,5,1973,91000,2,1,1,2,988,1596
77,Densidade Residencial Baixa,NAmes,1,7,1956,135750,2,1,1,1,952,8475
78,Densidade Residencial Média,Brookside,2,5,1948,127000,2,1,1,2,1285,8635
79,Densidade Residencial Baixa,Sawyer,1,5,1968,136500,4,0,2,2,1768,10778
80,Densidade Residencial Média,Old Town,2,6,1910,110000,2,2,1,2,1230,10440
81,Densidade Residencial Baixa,NAmes,2,6,1968,193500,4,1,1,3,2142,13000
82,Densidade Residencial Média,Mitchell,1,5,1998,153500,2,2,1,3,1337,4500
83,Densidade Residencial Baixa,Somerset,1,5,2007,245000,3,3,1,2,1563,10206
84,Densidade Residencial Baixa,NAmes,1,5,1960,126500,3,2,1,2,1065,8892
85,Densidade Residencial Baixa,Gilbert,2,5,1995,168500,3,2,1,3,1474,8530
86,Densidade Residencial Baixa,Northridge,2,5,1991,260000,4,2,1,3,2417,16059
87,Densidade Residencial Baixa,Gilbert,2,5,2005,174000,3,2,1,3,1560,11911
88,Área Residencial de Vilas Flutuantes,Somerset,2,5,2009,164500,2,2,1,3,1224,3951
89,C (all),Iowa DOT and Rail Road,2,2,1915,85000,2,0,1,1,1526,8470
90,Densidade Residencial Baixa,College Creek,1,5,1994,123600,3,0,1,2,990,8070
91,Densidade Residencial Baixa,NAmes,1,5,1950,109900,2,2,1,1,1040,7200
92,Densidade Residencial Baixa,NAmes,1,3,1961,98600,2,2,1,1,1235,8500
93,Densidade Residencial Baixa,Crawford,1,7,1921,163500,2,2,1,2,964,13360
94,C (all),Old Town,2,6,1910,133900,4,2,2,3,2291,7200
95,Densidade Residencial Baixa,College Creek,2,5,1997,204750,3,2,1,4,1786,9337
96,Densidade Residencial Baixa,Gilbert,2,8,1993,185000,3,2,1,3,1470,9765
97,Densidade Residencial Baixa,College Creek,1,5,1999,214000,3,2,1,2,1588,10264
98,Densidade Residencial Baixa,Edwards,1,5,1965,94750,3,1,1,2,960,10921
99,Densidade Residencial Baixa,Edwards,1,5,1920,83000,2,1,1,1,835,10625
100,Densidade Residencial Baixa,NAmes,1,5,1959,128950,3,0,1,3,1225,9320
101,Densidade Residencial Baixa,Northwest Ames,1,7,1977,205000,3,2,1,3,1610,10603
102,Densidade Residencial Baixa,Sawyer West,2,5,1985,178000,3,2,1,3,1732,9206
103,Densidade Residencial Baixa,Sawyer West,1,5,1979,118964,4,2,2,2,1535,7018
104,Densidade Residencial Baixa,College Creek,1,5,2009,198900,3,3,1,2,1226,10402
105,Densidade Residencial Média,Iowa DOT and Rail Road,2,4,1931,169500,4,1,1,2,1818,7758
106,Área Residencial de Vilas Flutuantes,Somerset,2,5,2003,250000,3,2,1,3,1992,9375
107,Densidade Residencial Média,Old Town,1,7,1885,100000,2,1,1,1,1047,10800
108,Densidade Residencial Média,Old Town,1,5,1948,115000,2,1,1,1,789,6000
109,Densidade Residencial Média,Iowa DOT and Rail Road,2,7,1919,115000,3,0,1,2,1517,8500
110,Densidade Residencial Baixa,Northwest Ames,1,6,1977,190000,3,2,1,2,1844,11751
111,Densidade Residencial Baixa,Edwards,2,4,1954,136900,4,1,1,2,1855,9525
112,Densidade Residencial Baixa,Gilbert,2,5,2000,180000,3,2,1,3,1430,7750
113,Densidade Residencial Baixa,College Creek,2,5,2007,383970,4,3,1,4,2696,9965
114,Densidade Residencial Baixa,Crawford,1,5,1953,217000,3,2,1,3,2259,21000
115,Densidade Residencial Baixa,Crawford,2,8,1945,259500,3,1,1,4,2320,7259
116,Área Residencial de Vilas Flutuantes,Somerset,2,5,1999,176000,2,2,1,3,1458,3230
117,Densidade Residencial Baixa,Sawyer,1,5,1962,139000,3,1,1,2,1092,11616
118,Densidade Residencial Baixa,Edwards,1,5,2006,155000,2,2,1,2,1125,8536
119,Densidade Residencial Baixa,Sawyer West,2,5,1990,320000,5,3,1,4,3222,12376
120,Densidade Residencial Baixa,College Creek,2,5,2005,163990,3,2,1,3,1456,8461
121,Densidade Residencial Baixa,Clear Creek,2,5,1969,180000,1,2,1,2,988,21453
122,Densidade Residencial Média,Iowa DOT and Rail Road,2,5,1939,100000,3,1,1,1,1123,6060
123,Densidade Residencial Baixa,NAmes,1,7,1958,136000,3,1,1,1,1080,9464
124,Densidade Residencial Baixa,Sawyer West,1,5,1993,153900,2,2,1,2,1199,7892
125,Densidade Residencial Baixa,Northwest Ames,1,5,1979,181000,3,2,1,2,1586,17043
126,Densidade Residencial Média,Iowa DOT and Rail Road,2,8,1935,84500,2,0,1,2,754,6780
127,Densidade Residencial Baixa,Northpark Villa,1,5,1976,128000,2,2,1,2,958,4928
128,Densidade Residencial Média,Old Town,2,7,1930,87000,3,0,1,1,840,4388
129,Densidade Residencial Baixa,NAmes,2,5,1966,155000,3,2,1,2,1348,7590
130,Densidade Residencial Baixa,NAmes,1,7,1958,150000,3,2,1,3,1053,8973
131,Densidade Residencial Baixa,NAmes,2,6,1966,226000,4,2,1,3,2157,14200
132,Densidade Residencial Baixa,Gilbert,2,5,2000,244000,3,2,1,4,2054,12224
133,Densidade Residencial Baixa,NAmes,1,6,1959,150750,3,2,1,2,1327,7388
134,Densidade Residencial Baixa,Timberland,1,5,2001,220000,2,2,1,3,1296,6853
135,Densidade Residencial Baixa,Sawyer,1,6,1968,180000,3,2,1,3,1721,10335
136,Densidade Residencial Baixa,Northwest Ames,1,6,1970,174000,3,2,1,2,1682,10400
137,Densidade Residencial Baixa,NAmes,1,5,1967,143000,3,1,1,2,1214,10355
138,Densidade Residencial Baixa,Mitchell,1,5,1988,171000,5,3,2,3,1959,11070
139,Densidade Residencial Baixa,College Creek,2,5,1999,230000,3,3,1,3,1852,9066
140,Densidade Residencial Baixa,College Creek,2,5,1997,231500,3,2,1,4,1764,15426
141,Densidade Residencial Baixa,NAmes,1,5,1971,115000,3,0,1,1,864,10500
142,Densidade Residencial Baixa,College Creek,1,5,2005,260000,3,2,1,3,1734,11645
143,Densidade Residencial Baixa,NAmes,2,4,1952,166000,4,2,1,2,1385,8520
144,Densidade Residencial Baixa,College Creek,1,5,1999,204000,3,2,1,3,1501,10335
145,Densidade Residencial Média,Sawyer,1,5,1963,125000,6,2,2,3,1728,9100
146,Densidade Residencial Média,Edwards,2,5,2004,130000,3,2,1,2,1709,2522
147,Densidade Residencial Média,Brookside,1,7,1931,105000,2,1,1,2,875,6120
148,Densidade Residencial Baixa,Gilbert,2,5,2001,222500,3,2,1,3,2035,9505
149,Densidade Residencial Baixa,Sawyer West,1,5,2004,141000,3,0,1,2,1080,7500
150,Densidade Residencial Média,Brookside,2,4,1936,115000,3,1,1,1,1344,6240
151,Densidade Residencial Baixa,College Creek,1,6,1975,122000,3,2,1,2,969,10356
152,Densidade Residencial Baixa,Northridge Heights,1,5,2007,372402,2,3,1,3,1710,13891
153,Densidade Residencial Baixa,Northwest Ames,2,5,1971,190000,4,2,1,3,1993,14803
154,Densidade Residencial Baixa,Clear Creek,1,7,1960,235000,1,2,1,2,1252,13500
155,Densidade Residencial Média,Old Town,1,5,1923,125000,4,1,1,1,1200,11340
156,Densidade Residencial Baixa,Edwards,2,5,1924,79000,2,0,1,1,1096,9600
157,Densidade Residencial Baixa,NAmes,1,7,1950,109500,2,2,1,1,1040,7200
158,Densidade Residencial Baixa,Timberland,2,5,2009,269500,4,3,1,3,1968,12003
159,Área Residencial de Vilas Flutuantes,Somerset,2,5,2004,254900,3,2,1,3,1947,12552
160,Densidade Residencial Baixa,Gilbert,2,5,2005,320000,4,2,1,4,2462,19378
161,Densidade Residencial Baixa,Veenker,1,6,1984,162500,3,2,1,2,1232,11120
162,Densidade Residencial Baixa,Northridge Heights,2,5,2003,412500,3,3,1,4,2668,13688
163,Densidade Residencial Baixa,Northridge Heights,1,5,2005,220000,3,2,1,2,1541,12182
164,Densidade Residencial Baixa,Old Town,2,6,1956,103200,1,0,1,1,882,5500
165,Densidade Residencial Média,Old Town,1,7,1926,152000,3,1,1,2,1616,5400
166,Densidade Residencial Baixa,Edwards,2,7,1940,127500,4,0,2,3,1355,10106
167,Densidade Residencial Baixa,Clear Creek,1,5,1955,190000,2,1,1,2,1867,10708
168,Densidade Residencial Baixa,Northridge Heights,2,5,2007,325624,3,3,1,3,2161,10562
169,Densidade Residencial Baixa,Gilbert,2,5,2004,183500,3,2,1,3,1720,8244
170,Densidade Residencial Baixa,Timberland,1,6,1981,228000,2,2,1,3,1707,16669
171,Densidade Residencial Média,Old Town,2,6,1941,128500,2,2,1,2,1382,12358
172,Densidade Residencial Baixa,NAmes,1,5,1960,215000,3,2,1,2,1656,31770
173,Densidade Residencial Baixa,Stone Brook,2,7,1987,239000,2,2,1,3,1767,5306
174,Densidade Residencial Baixa,NAmes,1,5,1961,163000,3,2,1,3,1362,10197
175,Densidade Residencial Baixa,Timberland,1,5,1986,184000,3,2,1,3,1651,12416
176,Densidade Residencial Baixa,Edwards,1,7,1950,243000,4,2,1,3,2158,12615
177,Densidade Residencial Baixa,Clear Creek,2,5,1988,211000,4,2,1,4,2060,10029
178,Densidade Residencial Baixa,Sawyer,2,5,1958,172500,4,2,1,3,1920,13650
179,Densidade Residencial Baixa,Stone Brook,1,5,2008,501837,1,3,1,3,2234,17423
180,Densidade Residencial Média,Old Town,1,6,1923,100000,2,2,1,1,968,8520
181,Área Residencial de Vilas Flutuantes,Somerset,2,5,2000,177000,3,2,1,3,1525,2117
182,Densidade Residencial Baixa,Crawford,2,6,1920,200100,4,1,1,2,1802,7588
183,Densidade Residencial Baixa,Edwards,1,6,1957,120000,3,1,1,1,1340,9060
184,Densidade Residencial Média,Old Town,2,5,2003,200000,3,2,1,3,2082,11426
185,Densidade Residencial Baixa,Brookside,2,8,1908,127000,3,2,1,1,1252,7438
186,Densidade Residencial Média,Old Town,2,9,1892,475000,4,3,1,3,3608,22950
187,Densidade Residencial Baixa,Mitchell,2,5,1990,173000,3,2,1,3,1217,9947
188,Densidade Residencial Baixa,Old Town,2,7,1916,135000,3,1,1,3,1656,10410
189,Densidade Residencial Baixa,Sawyer West,2,5,1979,153337,2,2,2,4,1224,7018
190,Densidade Residencial Baixa,Stone Brook,1,5,2001,286000,0,2,1,3,1593,4923
191,Densidade Residencial Baixa,Crawford,2,8,1932,315000,3,2,1,3,2727,10570
192,Densidade Residencial Baixa,NAmes,2,9,1972,184000,4,2,1,3,1479,7472
193,Densidade Residencial Baixa,College Creek,1,5,1999,192000,3,2,1,3,1431,9017
194,Densidade Residencial Média,Edwards,2,5,2004,130000,3,2,1,2,1709,2522
195,Densidade Residencial Baixa,College Creek,1,7,1972,127000,3,1,1,1,864,7180
196,Densidade Residencial Baixa,Northpark Villa,2,6,1976,148500,3,2,1,3,1456,2280
197,Densidade Residencial Baixa,Somerset,1,5,2007,311872,3,3,1,3,1726,9416
198,Densidade Residencial Baixa,NAmes,2,4,1918,235000,4,2,1,4,3112,25419
199,Densidade Residencial Média,Old Town,2,6,1912,104000,5,0,1,1,2229,5520
200,Densidade Residencial Baixa,Northridge Heights,1,5,2004,274900,3,3,1,3,1713,9591
201,Densidade Residencial Média,Edwards,1,5,2003,140000,2,2,1,2,1121,8546
202,Densidade Residencial Baixa,Mitchell,1,6,1977,171500,3,2,1,3,1279,10125
203,Densidade Residencial Baixa,Old Town,2,6,1924,112000,2,1,1,2,1310,7000
204,Densidade Residencial Média,College Creek,1,5,2004,149000,1,2,1,2,848,4438
205,Densidade Residencial Média,Old Town,2,7,1947,110000,2,1,1,2,1284,3500
206,Densidade Residencial Baixa,Gilbert,1,5,1990,180500,3,2,1,2,1442,11851
207,Densidade Residencial Baixa,Sawyer,1,5,1962,143900,3,1,1,2,1696,13673
208,Densidade Residencial Baixa,NAmes,1,5,1960,141000,3,1,1,2,1100,12493
209,Densidade Residencial Baixa,Sawyer West,2,5,1988,277000,3,2,1,4,2062,14364
210,Densidade Residencial Baixa,NAmes,1,7,1964,145000,3,2,1,2,1092,8250
211,Densidade Residencial Baixa,Edwards,1,6,1925,98000,2,0,1,2,864,5604
212,Densidade Residencial Baixa,Edwards,1,5,2009,186000,3,2,1,2,1212,10420
213,Área Residencial de Vilas Flutuantes,Somerset,2,5,2009,252678,3,2,1,4,1852,8640
214,Densidade Residencial Baixa,College Creek,1,5,1995,156000,3,2,1,2,990,13568
215,Densidade Residencial Baixa,College Creek,2,7,1977,161750,3,1,1,2,1392,10900
216,Densidade Residencial Baixa,NAmes,1,6,1957,134450,2,1,1,2,1236,10011
217,Densidade Residencial Baixa,College Creek,1,5,2004,210000,3,2,1,3,1436,8450
218,Densidade Residencial Média,Old Town,2,4,1925,107000,3,1,1,1,1328,9906
219,Densidade Residencial Baixa,Crawford,2,9,1939,311500,3,2,1,3,1954,15660
220,Densidade Residencial Baixa,Bloomington Heights,1,5,2005,167240,2,2,1,2,1248,3010
221,Densidade Residencial Baixa,College Creek,1,5,2006,204900,2,2,1,2,1498,8990
222,Densidade Residencial Baixa,Gilbert,2,5,2002,200000,4,2,1,3,2267,8068
223,Densidade Residencial Baixa,Northwest Ames,2,6,1975,179900,3,2,1,4,1552,11475
224,Densidade Residencial Baixa,NAmes,1,6,1971,97000,2,2,1,1,864,10500
225,Densidade Residencial Baixa,Northridge Heights,1,5,2003,386250,3,3,1,2,2392,13472
226,Densidade Residencial Média,Briardale,2,5,1971,112000,3,1,1,3,1302,1680
227,Densidade Residencial Baixa,Northridge,2,5,1995,290000,4,3,1,3,2520,9950
228,Densidade Residencial Média,Briardale,2,6,1970,106000,2,1,1,2,987,1869
229,Densidade Residencial Baixa,Sawyer,1,5,1967,125000,3,1,1,1,912,8521
230,Densidade Residencial Baixa,Bloomington Heights,1,5,2005,192500,2,2,1,2,1555,3182
231,Densidade Residencial Baixa,NAmes,1,6,1959,148000,3,1,1,2,1194,8760
232,Densidade Residencial Baixa,Northridge,2,5,1995,403000,4,3,1,4,2794,15138
233,Densidade Residencial Média,Briardale,2,5,1972,94500,2,1,1,2,987,1680
234,Densidade Residencial Baixa,College Creek,1,6,1976,128200,3,1,1,2,894,10650
235,Densidade Residencial Baixa,Gilbert,2,5,2002,216500,4,2,1,4,1960,7851
236,Densidade Residencial Média,Briardale,2,3,1971,89500,2,1,1,2,987,1680
237,Densidade Residencial Baixa,College Creek,1,5,2004,185500,3,2,1,2,1414,8773
238,Densidade Residencial Baixa,Sawyer West,2,7,1993,194500,3,2,1,3,1744,9453
239,Densidade Residencial Baixa,Northridge Heights,1,5,2007,318000,3,3,1,2,1694,12030
240,Densidade Residencial Baixa,Edwards,2,4,1945,113000,3,1,1,2,1487,8741
241,Área Residencial de Vilas Flutuantes,Somerset,1,5,2008,262500,3,2,1,3,1566,9000
242,Densidade Residencial Média,Old Town,1,9,1945,110500,2,0,1,1,866,3880
243,Densidade Residencial Média,Old Town,2,4,1900,79000,3,1,1,1,1440,5000
244,Densidade Residencial Baixa,Sawyer West,2,6,1980,120000,3,1,1,2,1217,10762
245,Densidade Residencial Baixa,Sawyer West,2,5,1994,205000,3,2,1,4,2110,8880
246,Densidade Residencial Baixa,Northwest Ames,1,5,1988,241500,3,2,1,3,1872,10400
247,Densidade Residencial Média,Old Town,2,8,1910,137000,4,1,2,2,1928,9142
248,Densidade Residencial Baixa,NAmes,1,5,1954,140000,2,2,1,1,1375,11310
249,Densidade Residencial Baixa,College Creek,2,5,2003,180000,3,2,1,3,1668,11317
250,Densidade Residencial Baixa,Clear Creek,2,7,1958,277000,4,2,1,3,2144,159000
251,Densidade Residencial Baixa,Brookside,1,2,1940,76500,3,0,1,1,1306,5350
252,Densidade Residencial Média,Crawford,1,5,2006,235000,2,2,1,4,1625,4750
253,Densidade Residencial Baixa,Sawyer West,2,5,2004,173000,3,2,1,3,1640,8366
254,Densidade Residencial Baixa,NAmes,2,7,1964,158000,3,1,1,3,1302,9350
255,Densidade Residencial Baixa,NAmes,1,6,1957,145000,3,1,1,2,1314,8400
256,Densidade Residencial Baixa,Gilbert,2,5,1999,230000,4,2,1,3,2291,8738
257,Área Residencial de Vilas Flutuantes,Somerset,2,5,2003,207500,3,2,1,3,1728,8791
258,Densidade Residencial Baixa,College Creek,1,5,2006,220000,3,2,1,4,1604,8814
259,Densidade Residencial Baixa,College Creek,2,5,2001,231500,3,2,1,3,1792,12435
260,Densidade Residencial Média,Old Town,1,5,1956,97000,2,1,1,1,882,12702
261,Densidade Residencial Baixa,NAmes,2,5,1962,176000,3,2,1,2,1382,19296
262,Densidade Residencial Baixa,College Creek,2,5,2007,276000,3,3,1,3,2574,9588
263,Densidade Residencial Baixa,Sawyer,2,7,1977,151000,3,2,1,2,1212,8471
264,Densidade Residencial Média,Old Town,2,7,1929,130000,3,2,1,2,1316,5500
265,Densidade Residencial Média,Old Town,1,5,1925,73000,2,2,1,1,764,5232
266,Densidade Residencial Baixa,Northwest Ames,1,6,1981,175500,3,2,1,2,1422,12090
267,Densidade Residencial Baixa,Gilbert,2,5,1997,185000,3,2,1,4,1511,11207
268,Densidade Residencial Baixa,South & West of Iowa State University,2,8,1939,179500,4,1,1,3,2192,8400
269,Densidade Residencial Média,Iowa DOT and Rail Road,1,6,1940,120500,2,1,1,1,778,6900
270,Densidade Residencial Baixa,Edwards,1,7,1976,148000,3,1,1,3,1113,7917
271,Área Residencial de Vilas Flutuantes,Somerset,2,5,2006,266000,3,3,1,3,1939,10728
272,Densidade Residencial Baixa,Clear Creek,1,7,1954,241500,2,2,1,2,1363,39104
273,Densidade Residencial Baixa,Northridge,2,7,1999,290000,4,3,1,3,2270,11764
274,Densidade Residencial Baixa,NAmes,1,6,1958,139000,3,1,1,3,1632,9600
275,Densidade Residencial Baixa,Mitchell,1,7,1982,124500,2,1,1,1,816,8314
276,Densidade Residencial Baixa,Brookside,2,7,1925,205000,3,2,1,3,1548,7264
277,Densidade Residencial Baixa,Mitchell,1,5,2003,201000,3,2,1,2,1560,9196
278,Densidade Residencial Baixa,Gilbert,1,5,1951,141000,2,2,1,1,864,19138
279,Densidade Residencial Baixa,Northridge Heights,1,5,2006,415298,3,3,1,3,2121,14450
280,Densidade Residencial Baixa,Clear Creek,2,5,1977,192000,4,2,1,3,2022,10005
281,Densidade Residencial Baixa,Sawyer West,2,6,1989,228500,3,2,1,3,1982,11287
282,Área Residencial de Vilas Flutuantes,Somerset,1,5,2006,185000,2,2,1,2,1262,7200
283,Densidade Residencial Baixa,Northridge Heights,1,5,2007,207500,2,2,1,3,1314,5063
284,Densidade Residencial Baixa,Somerset,1,5,2008,244600,3,3,1,2,1468,9612
285,Densidade Residencial Baixa,Sawyer West,1,5,1992,179200,2,2,1,3,1575,8012
286,Área Residencial de Vilas Flutuantes,Somerset,2,5,2006,164700,2,2,1,3,1250,4251
287,Densidade Residencial Baixa,NAmes,2,7,1962,159000,3,2,1,2,1734,9786
288,Densidade Residencial Baixa,NAmes,1,4,1971,88000,3,0,1,1,858,8125
289,Densidade Residencial Baixa,Sawyer,1,5,1967,122000,3,1,1,1,900,9819
290,Densidade Residencial Baixa,Brookside,2,7,1915,153575,3,1,1,1,1396,8730
291,Densidade Residencial Baixa,College Creek,2,5,2006,233230,3,2,1,3,1919,15611
292,Densidade Residencial Baixa,South & West of Iowa State University,2,6,1912,135900,6,0,1,3,1716,5687
293,Densidade Residencial Baixa,Edwards,2,4,1949,131000,3,1,1,2,1716,11409
294,Densidade Residencial Baixa,Northwest Ames,2,7,1977,235000,3,2,1,4,2263,16659
295,Densidade Residencial Baixa,NAmes,1,5,1953,167000,3,2,1,2,1644,9600
296,Densidade Residencial Baixa,Mitchell,2,6,1984,142500,3,2,1,2,1003,7937
297,Densidade Residencial Média,Iowa DOT and Rail Road,2,5,1950,152000,4,1,1,2,1558,13710
298,Área Residencial de Vilas Flutuantes,Somerset,2,5,1997,239000,3,2,1,3,1950,7399
299,Densidade Residencial Baixa,Northwest Ames,2,6,1968,175000,3,2,1,4,1743,11700
300,Densidade Residencial Baixa,Crawford,1,8,1950,158500,3,1,1,2,1152,14000
301,Densidade Residencial Baixa,Crawford,1,5,1953,157000,2,1,1,2,1336,15750
302,Densidade Residencial Baixa,College Creek,2,5,1998,267000,4,2,1,3,2452,16226
303,Densidade Residencial Baixa,College Creek,1,5,2001,205000,3,3,1,2,1541,13704
304,Densidade Residencial Baixa,College Creek,1,7,1972,149900,3,2,1,2,894,9800
305,Densidade Residencial Média,Old Town,2,9,1880,295000,3,3,1,3,3493,18386
306,Densidade Residencial Baixa,College Creek,1,5,2004,305900,3,3,1,3,2000,10386
307,Densidade Residencial Baixa,Sawyer West,2,5,1990,225000,4,3,1,4,2243,13474
308,Densidade Residencial Média,Iowa DOT and Rail Road,2,7,1920,89500,3,0,1,1,1406,7920
309,Densidade Residencial Baixa,Edwards,1,5,1940,82500,1,2,1,1,861,12342
